title,description,start_time,end_time,url,group
Dame Judi Dench in Conversation,Dame Judi Dench discusses her extraordinary career,2021-02-24T12:00:00-05:00,2021-02-24T13:00:00-05:00,https://www.eventbrite.com/e/dame-judi-dench-in-conversation-registration-137806088721?aff=ebdssbonlinebrowse,None
How to Master Your Money Mindset in 2021,Learn how to create a winning money mindset for this year!,2021-02-24T11:30:00+11:00,2021-02-24T12:30:00+11:00,https://www.eventbrite.com.au/e/how-to-master-your-money-mindset-in-2021-tickets-126025544797?aff=ebdssbonlinebrowse,money
Joy & Connection - with Chude Jideonwo,"Join us for a special event with Chude Jideonwo about how to find joy in life, through authentic connection with ourselves and each other.",2021-02-25T19:00:00+00:00,2021-02-25T20:00:00+00:00,https://www.eventbrite.co.uk/e/joy-connection-with-chude-jideonwo-tickets-138297755309?aff=ebdssbonlinebrowse,None
The Money & Relationship Hotline,"The Studio at TFD presents The Money & Relationship Hotline, a workshop to help you and your partner build a financial foundation.",2021-02-25T18:30:00-05:00,2021-02-25T20:00:00-05:00,https://www.eventbrite.com/e/the-money-relationship-hotline-tickets-135559436925?aff=ebdssbonlinebrowse,money
An evening with Kazuo Ishiguro,"In his first global in-conversation event, Nobel laureate Kazuo Ishiguro will talk about his much-anticipated new novel, Klara and the Sun.",2021-03-02T19:00:00+00:00,2021-03-02T20:15:00+00:00,https://www.eventbrite.co.uk/e/an-evening-with-kazuo-ishiguro-tickets-132965476319?aff=ebdssbonlinebrowse,novel
A Matter of Death and Life - Irvin Yalom,A Matter of Death and Life workshop with Irvin Yalom,2021-03-08T21:00:00+00:00,2021-03-08T23:00:00+00:00,https://www.eventbrite.co.uk/e/a-matter-of-death-and-life-irvin-yalom-tickets-130840590729?aff=ebdssbonlinebrowse,None
Health and Happiness Workshop,Learn effortless techniques to manage your stress and increase your energy levels,2020-08-10T19:00:00+02:00,2021-03-22T20:00:00+02:00,https://www.eventbrite.com/e/health-and-happiness-workshop-tickets-115874570961?aff=ebdssbonlinebrowse,None
Vegan For Beginners,Here's your window to peek inside of the Vegan/Plant-based world!,2020-08-15T17:00:00-04:00,2022-03-19T18:00:00-04:00,https://www.eventbrite.com/e/vegan-for-beginners-tickets-115428530843?aff=ebdssbonlinebrowse,None
"Congreso Internacional de Jóvenes ""Reset""",Congreso Internacional de Jóvenes de la Serie Changemakers.,2021-02-26T19:00:00-04:00,2021-02-27T22:00:00-04:00,https://www.eventbrite.es/e/entradas-congreso-internacional-de-jovenes-reset-137082542575?aff=ebdssbonlinebrowse,None
Personalizing Psychotherapy  - Mick Cooper & John Norcross,Personalizing Psychotherapy: Assessing and Accommodating Preferences workshop with Mick Cooper & John Norcross,2021-02-26T17:00:00+00:00,2021-02-26T20:00:00+00:00,https://www.eventbrite.co.uk/e/personalizing-psychotherapy-mick-cooper-john-norcross-tickets-130164791395?aff=ebdssbonlinebrowse,None
Easy Everyday Makeup Look | M.A.C Cosmetics,"About the look:&amp;nbsp;Learn how to create an extremely basic and easy everyday makeup look. This masterclass is meant for beginners who would like to understand simple tips &amp;amp; techniques of makeup application.&amp;nbsp;About the Makeup Artist:M.A.C Trainer, Leiya Phinao has been with the brand for over 12 years and is a highly skilled and experienced artist in beauty &amp;amp; glam looks. Her journey as a makeup artist has taken her backstage at IIFA, GIMA, India &amp;amp; Dubai Fashion Weeks. Information on Gift Voucher:&amp;nbsp;After the session ends, you will receive a Gift Voucher worth Rs 1050 on your registered email ID. This Gift Voucher can be redeemed against M.A.C products on Nykaa.com. ",2021-02-27T09:30:00.000Z,2021-02-27T10:30:00.000Z,https://insider.in/easy-everyday-makeup-look-mac-cosmetics-feb27-2021/event,None
Foundation Masterclass | Paytm Money,"Paytm Money is excited to bring to you “Foundation Masterclass – Jumpstart your investing journey” with&amp;nbsp;ITI Mutual Fund as our knowledge Partner. This event is powered by - Paytm Insider and produced by - WMS Entertainment.The market presents to you a wide range of options – do you invest or do you trade, is investing in stocks directly the right way to go or should you take the ETF route, should you consider bonds or even Gold?! If you are looking to start your journey in the markets but are not sure how to, you should be attending our “Foundation Masterclass”.&amp;nbsp;The Foundation Masterclass is a specially curated two-day event that will bring to you the top industry experts who will guide you on your first step into the world of investing and trading in the markets!You also stand the chance to win prizes worth INR 10,000 while all the participants will get free brokerage worth INR 500 on Paytm Money (valid till 31st Dec 2021) and a participation certificate!&amp;nbsp;",2021-02-27T04:30:00.000Z,2021-02-27T08:30:00.000Z,https://insider.in/foundation-masterclass-paytm-money-feb27-28-2021/event,money
